city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.92,Male,1,none,Graduate,STEM,>=10,50-99,Pvt Ltd,1,36,1.0
Other,0.7759999999999999,Male,0,none,Graduate,STEM,>=10,50-99,Pvt Ltd,>4,47,0.0
city_21,0.624,Male,0,full-time,Graduate,STEM,5-9,50-99,Pvt Ltd,never,83,0.0
Other,0.789,Male,0,none,Graduate,Business Degree,0-2,50-99,Pvt Ltd,never,52,1.0
Other,0.767,Male,1,none,Masters,STEM,>=10,50-99,Funded Startup,4,8,0.0
Other,0.764,Male,1,part-time,Graduate,STEM,>=10,50-99,Pvt Ltd,1,24,1.0
city_160,0.92,Male,1,none,High School,STEM,5-9,50-99,Funded Startup,1,24,0.0
Other,0.762,Male,1,none,Graduate,STEM,>=10,<10,Pvt Ltd,>4,18,1.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,50-99,Pvt Ltd,1,46,1.0
city_103,0.92,Male,1,none,Graduate,STEM,>=10,>10000,Pvt Ltd,>4,123,0.0
city_21,0.624,Male,0,full-time,High School,STEM,0-2,50-99,Pvt Ltd,never,32,1.0
city_103,0.92,Male,1,none,Graduate,STEM,5-9,5000-9999,Pvt Ltd,1,108,0.0
Other,0.913,Male,1,none,Graduate,STEM,>=10,1000-4999,Pvt Ltd,3,23,0.0
city_21,0.624,Male,0,none,Graduate,STEM,0-2,50-99,Pvt Ltd,never,24,0.0
city_21,0.624,Male,0,full-time,High School,STEM,5-9,50-99,Pvt Ltd,never,26,0.0
city_114,0.926,Male,1,none,Graduate,STEM,>=10,10-49,Pvt Ltd,>4,18,0.0
city_103,0.92,Male,1,none,Graduate,STEM,0-2,50-99,Pvt Ltd,never,106,0.0
city_21,0.624,Male,1,none,Graduate,STEM,0-2,5000-9999,Pvt Ltd,2,7,0.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,>10000,Pvt Ltd,never,23,1.0
Other,0.8270000000000001,Female,1,none,Graduate,Arts,3-4,50-99,Pvt Ltd,1,132,1.0
Other,0.843,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,1,68,0.0
city_114,0.926,Male,1,none,Masters,STEM,>=10,100-500,Pvt Ltd,2,50,0.0
city_102,0.804,Male,1,none,Masters,STEM,>=10,50-99,Pvt Ltd,1,48,0.0
Other,0.7759999999999999,Male,1,none,Graduate,Humanities,0-2,1000-4999,Pvt Ltd,1,65,0.0
city_21,0.624,Male,1,none,Graduate,STEM,5-9,1000-4999,Pvt Ltd,1,13,0.0
city_67,0.855,Male,0,none,High School,STEM,3-4,50-99,Pvt Ltd,never,22,0.0
city_21,0.624,Male,1,part-time,Graduate,STEM,>=10,500-999,Pvt Ltd,1,148,1.0
city_103,0.92,Male,1,none,Graduate,Arts,5-9,50-99,Pvt Ltd,2,72,0.0
city_100,0.887,Male,1,none,High School,STEM,>=10,<10,Pvt Ltd,1,8,1.0
city_21,0.624,Male,1,none,Graduate,STEM,>=10,50-99,Funded Startup,2,68,1.0
